收费门架信息,,,,
序号,收费门架编号,门架名称,纬度,经度
692,G001837012002720010,广饶虚-广饶收费门架,37.051883,118.531921
693,G001837013000110010,鲁北-无棣门架,37.927448,117.643855
694,G001837013000110210,鲁北-无棣门架,37.923878,117.646987
695,G001837013000210020,无棣-古城枢纽门架,37.897162,117.674484
696,G001837013000310030,古城枢纽-古城门架,37.712362,117.826796
697,G001837013000410040,古城-大高门架,37.626375,117.863438
698,G001837013000510050,大高-滨州北门架,37.513464,117.911334
699,G001837013000610060,滨州北-长深济东立交门架,37.475585,117.910108
700,G001837013000710070,长深济东立交-滨城门架,37.425447,117.904559
701,G001837013000810080,滨城-滨州门架,37.37640493,117.91027945
702,G001837013000910090,滨州-滨州南门架,37.308133,117.914964
703,G001837013001220120,滨州南-滨州门架,37.307386,117.915859
704,G001837013001320130,滨州-滨城门架,37.37553214,117.91041911
705,G001837013001420140,滨城-长深济东立交门架,37.424657,117.904693
706,G001837013001520150,长深济东立交-滨州北门架,37.47489882,117.91006157
707,G001837013001620160,滨州北-大高门架,37.513047,117.911515
708,G001837013001720170,大高-古城门架,37.625425,117.863568
709,G001837013001820180,古城-古城枢纽门架,37.711793,117.827209
710,G001837013001920190,古城枢纽-无棣门架,37.897175,117.674514
711,G001837013002020200,无棣-鲁北主线门架,37.931237,117.640237
712,G001837013002020220,无棣-鲁北主线门架,37.928283,117.642816
713,G001837013002110010,滨州-滨州虚收费门架,37.307359,117.909493
714,G001837013002120010,滨州虚-滨州收费门架,37.307359,117.909493
715,G001837013002210010,滨城-滨城虚收费门架,37.424140,117.898967
716,G001837013002220010,滨城虚-滨城收费门架,37.424140,117.898967
717,G001837013002310010,滨州北-滨州北虚收费门架,37.512505,117.905666
718,G001837013002320010,滨州北虚-滨州北收费门架,37.512505,117.905666
719,G001837013002410010,大高-大高虚收费门架,37.625115,117.857749
720,G001837013002420010,大高虚-大高收费门架,37.625115,117.857749
721,G001837013002510010,滨州南-滨州南虚收费门架,37.223456,117.456673
722,G001837013002520010,滨州南虚-滨州南收费门架,37.223456,117.456673
723,G001837013002610010,无棣-无棣虚收费门架,37.923348,117.640971
724,G001837013002620010,无棣虚-无棣收费门架,37.923348,117.640971
725,G001837013002710010,古城-古城虚收费门架,37.711149,117.821112
726,G001837013002720010,古城虚-古城收费门架,37.711149,117.821112
727,G001837014000210020,沾化东-沾化西门架,37.733088,118.100329
728,G001837014000410040,滨州港-古城枢纽门架,37.739987,117.862470
729,G001837014000720070,古城枢纽-滨州港门架,37.739812,117.861299
730,G001837014000920090,沾化西-沾化东门架,37.732958,118.099727
731,G001837014001110010,滨州港-滨州港虚收费门架,37.739209,117.855337
732,G001837014001120010,滨州港虚-滨州港收费门架,37.739209,117.855337
733,G001837014001210010,沾化西-沾化西虚收费门架,37.729924,118.050062
734,G001837014001220010,沾化西虚-沾化西收费门架,37.729924,118.050062
735,G001837014001310010,沾化东-沾化东虚收费门架,37.732041,118.094062
736,G001837014001320010,沾化东虚-沾化东收费门架,37.732041,118.094062
737,G001837014001410100,沾化西虚-沾化枢纽虚收费门架,37.729874,118.049593
738,G001837014001420100,沾化枢纽-沾化西虚收费门架,37.729644,118.049322
739,G001837014001510110,沾化枢纽-滨州港虚收费门架,37.729643,118.048951
740,G001837014001520110,滨州港虚-沾化枢纽收费门架,37.729643,118.048951
741,G001837015000210010,灰埠-郭家埠枢纽门架,36.97101401,119.70511252
742,G001837015000310020,郭家埠枢纽-明村枢纽门架,36.92061949391457,119.64225878296114
743,G001837015000420030,明村枢纽-郭家埠枢纽门架,36.91997733,119.64194108
744,G001837015000520040,郭家埠枢纽-灰埠门架,36.97041752,119.70456724
745,G001837015000710010,灰埠-灰埠虚收费门架,36.970663,119.699641
746,G001837015000720010,灰埠虚-灰埠收费门架,36.970663,119.699641
747,G001837016000110010,威海-文登北门架,37.289758,122.103582
748,G001837016000210020,文登北-文登门架,37.18606921747771,122.0156737211226
749,G001837016000310030,文登-威乳荣文立交门架,37.15123116806177,121.98131266642102
750,G001837016000410040,威乳荣文立交-威海南海门架,37.069551,121.912552
751,G001837016000510050,威海南海-南黄门架,37.04701691,121.89867352
752,G001837016000610060,南黄-乳山东门架,36.952111192725525,121.76435463637573
753,G001837016000920070,乳山东-南黄门架,36.91434291,121.61015911
754,G001837016001020080,南黄-威海南海门架,37.04378279,121.89714741
755,G001837016001120090,威海南海-威乳荣文立交门架,37.06896232,121.91213619
756,G001837016001220100,威乳荣文立交-文登门架,37.14968779013499,121.97997122709302
757,G001837016001320110,文登-文登北门架,37.182039100416105,122.01367754874377
758,G001837016001420120,文登北-威海门架,37.288369,122.101746
759,G001837016001510010,威海-威海虚收费门架,37.295398,122.109340
760,G001837016001520010,威海虚-威海收费门架,37.295398,122.109340
761,G001837016001610010,文登北-文登北虚收费门架,37.247713,122.054661
762,G001837016001620010,文登北虚-文登北收费门架,37.247713,122.054661
763,G001837016001710010,文登-文登虚收费门架,37.167415,131.929123
764,G001837016001720010,文登虚-文登收费门架,37.167415,131.929123
765,G001837016001810010,威海南海-威海南海虚收费门架,37.056330,121.901733
766,G001837016001820010,威海南海虚-威海南海收费门架,37.056330,121.901733
767,G001837016001910010,南黄-南黄虚收费门架,36.968628,121.788581
768,G001837016001920010,南黄虚-南黄收费门架,36.968628,121.788581
769,G001837016002010010,乳山东-乳山东虚收费门架,36.893882,121.557475
770,G001837016002020010,乳山东虚-乳山东收费门架,36.893882,121.557475
771,G002037001000210010,青岛-王演庄枢纽门架,36.399090,120.270819
772,G002037001000310020,王演庄枢纽-蓝村门架,36.407908,120.224241
773,G002037001000410030,蓝村-机场北枢纽门架,36.420495,120.151754
774,G002037001000510050,马店枢纽-胶州门架,36.406298,120.013484
775,G002037001000620060,胶州-马店枢纽门架,36.406163,120.012997
776,G002037001000720070,马店枢纽-机场北枢纽门架,36.413518,120.073013
777,G002037001000820090,蓝村-王演庄枢纽门架,36.408169,120.222615
778,G002037001000920100,王演庄枢纽-青岛门架,36.399217,120.270234
779,G002037001001110040,机场北枢纽-马店枢纽门架,36.41363742,120.0735535
780,G002037001001220080,机场北枢纽-蓝村门架,36.420295,120.150923
781,G002037001001310010,胶州-胶州虚收费门架,36.405834,120.007610
782,G002037001001320010,胶州虚-胶州收费门架,36.405834,120.007610
783,G002037001001410010,蓝村-蓝村虚收费门架,36.420295,120.146629
784,G002037001001420010,蓝村虚-蓝村收费门架,36.420295,120.146629
785,G002037001001510010,青岛-青岛虚收费门架,36.399049,120.265745
786,G002037001001520010,青岛虚-青岛收费门架,36.399049,120.265745
787,G002037002000110010,胶州-高密门架,36.41324331,119.96246171
788,G002037002000210020,高密-高密西门架,36.470276,119.765397
789,G002037002000310030,高密西-饮马门架,36.52771407,119.63728495
790,G002037002000420040,饮马-高密西门架,36.52776848,119.63651824
791,G002037002000520050,高密西-高密门架,36.47028833,119.76500078
792,G002037002000620060,高密-胶州门架,36.41316987,119.96176463
793,G002037002000710010,饮马-饮马虚收费门架,36.638725,119.455218
794,G002037002000720010,饮马虚-饮马收费门架,36.638725,119.455218
795,G002037002000810010,高密-高密虚收费门架,36.632781,119.464533
796,G002037002000820010,高密虚-高密收费门架,36.632781,119.464533
797,G002037002000910010,高密西-高密西虚收费门架,36.527599,119.631015
798,G002037002000920010,高密西虚-高密西收费门架,36.527599,119.631015
799,G002037003000110010,饮马-涌泉枢纽门架,36.64842386,119.44715726
800,G002037003000210020,涌泉枢纽-潍坊东门架,36.711014,119.257926
801,G002037003000310030,潍坊东-潍坊门架,36.745129,119.172054
802,G002037003000410040,潍坊-潍坊西门架,36.75036028,119.04648239
803,G002037003000510050,潍坊西-于河枢纽门架,36.749917,118.990667
804,G002037003000610060,于河枢纽-昌乐门架,36.754779,118.870468
805,G002037003000720070,昌乐-于河枢纽门架,36.754739,118.869761
806,G002037003000820080,于河枢纽-潍坊西门架,36.749918,118.988962
807,G002037003000920090,潍坊西-潍坊门架,36.7500529,119.04319954
808,G002037003001020100,潍坊-潍坊东门架,36.745141,119.171561
809,G002037003001120110,潍坊东-涌泉枢纽门架,36.711007,119.257259
810,G002037003001220120,涌泉枢纽-饮马门架,36.64858329,119.44673488
811,G002037003001310010,昌乐-昌乐虚收费门架,36.756774,118.810732
812,G002037003001320010,昌乐虚-昌乐收费门架,36.756774,118.810732
813,G002037003001410010,潍坊西-潍坊西虚收费门架,36.750113,118.979475
814,G002037003001420010,潍坊西虚-潍坊西收费门架,36.750113,118.979475
815,G002037003001510010,潍坊-潍坊虚收费门架,36.743426,119.169671
816,G002037003001520010,潍坊虚-潍坊收费门架,36.743426,119.169671
817,G002037003001610010,潍坊东-潍坊东虚收费门架,36.742615,119.173333
818,G002037003001620010,潍坊东虚-潍坊东收费门架,36.742615,119.173333
819,G002037004000110010,昌乐-寿光门架,36.757178,118.813307
820,G002037004000210020,寿光-青州东门架,36.762433,118.703195
821,G002037004000310030,青州东-于家枢纽门架,36.796831,118.591498
822,G002037004000410040,于家枢纽-青州西门架,36.803947,118.533225
823,G002037004000510050,青州西-临淄东门架,36.819142,118.486597
824,G002037004000820080,临淄东-青州西门架,36.819121,118.485739
825,G002037004000920090,青州西-于家枢纽门架,36.804004,118.532367
826,G002037004001020100,于家枢纽-青州东门架,36.796923,118.590602
827,G002037004001120110,青州东-寿光门架,36.762639,118.702256
828,G002037004001220120,寿光-昌乐门架,36.757099,118.812787
829,G002037004001310010,青州西-青州西虚收费门架,36.804820,118.522188
830,G002037004001320010,青州西虚-青州西收费门架,36.804820,118.522188
831,G002037004001410010,青州东-青州东虚收费门架,36.792915,118.596142
832,G002037004001420010,青州东虚-青州东收费门架,36.792915,118.596142
833,G002037004001510010,寿光-寿光虚收费门架,36.762140,118.697878
834,G002037004001520010,寿光虚-寿光收费门架,36.762140,118.697878
835,G002037005000110010,临淄东-临淄门架,36.837922,118.379237
836,G002037005000210020,临淄-淄博高新区门架,36.855113,118.278489
837,G002037005000310030,淄博高新区-淄博门架,36.859075,118.111863
838,G002037005000410040,淄博-淄博西枢纽门架,36.857023,118.019491
839,G002037005000510050,淄博西枢纽-周村门架,36.85766279,117.89462706
840,G002037005000610060,周村-邹平东门架,36.85999069,117.84843911
841,G002037005000810080,邹平东-邹平西门架,36.86413436,117.80134041
842,G002037005000920090,邹平西-邹平东门架,36.86423645,117.80034163
843,G002037005001120110,邹平东-周村门架,36.85986978,117.84729519
844,G002037005001220120,周村-淄博西枢纽门架,36.857498,117.893829
845,G002037005001320130,淄博西枢纽-淄博门架,36.856937,118.018650
846,G002037005001420140,淄博-淄博高新区门架,36.859031,118.110869
847,G002037005001520150,淄博高新区-临淄门架,36.855008,118.278079
848,G002037005001620160,临淄-临淄东门架,36.837849,118.377985
849,G002037006000210020,邹平西-章丘门架,36.863859,117.519511
850,G002037006000310030,章丘-章丘西门架,36.850333,117.473200
851,G002037006000410040,章丘西-唐王枢纽门架,36.817662516107745,117.39447725795347
852,G002037006000510050,唐王枢纽-临港门架,36.781307,117.266602
853,G002037006000610060,临港-小许家枢纽门架,36.775671,117.232785
854,G002037006000710070,小许家枢纽-东客站门架,36.758745774604506,117.16450198540966
855,G002037006000810080,华山北枢纽-济南虚收费门架,36.753056,117.120859
856,G002037006000920100,济南虚-华山北枢纽收费门架,36.742484,117.067550
857,G002037006001020120,东客站-小许家枢纽门架,36.75812086087413,117.16221829798633
858,G002037006001120130,小许家枢纽-临港门架,36.775414,117.231830
859,G002037006001220140,临港-唐王枢纽门架,36.781035,117.265111
860,G002037006001320150,唐王枢纽-章丘西门架,36.81736682108803,117.39410047404247
861,G002037006001420160,章丘西-章丘门架,36.849807,117.472750
862,G002037006001520170,章丘-邹平西门架,36.863671,117.518273
863,G002037006001710010,章丘-章丘虚收费门架,36.856523,117.477128
864,G002037006001720010,章丘虚-章丘收费门架,36.856523,117.477128
865,G002037006001810010,章丘西-章丘西虚收费门架,36.855458,117.475663
866,G002037006001820010,章丘西虚-章丘西收费门架,36.855458,117.475663
867,G002037006001910010,临港-临港虚收费门架,36.789354,117.251337
868,G002037006001920010,临港虚-临港收费门架,36.789354,117.251337
869,G002037006002010010,东客站-东客站虚收费门架,117.120493,36.752801
870,G002037006002020010,东客站虚-东客站收费门架,117.120493,36.752801
871,G002037006002110010,邹平东-邹平东虚收费门架,36.861084,117.807547
872,G002037006002120010,邹平东虚-邹平东收费门架,36.861084,117.807547
873,G002037006002210010,周村-周村虚收费门架,36.857812,117.934326
874,G002037006002220010,周村虚-周村收费门架,36.857812,117.934326
875,G002037006002310010,淄博-淄博虚收费门架,36.854591,118.278444
876,G002037006002320010,淄博虚-淄博收费门架,36.854591,118.278444
877,G002037006002410010,临淄-临淄虚收费门架,36.836642,118.381437
878,G002037006002420010,临淄虚-临淄收费门架,36.836642,118.381437
879,G002037006002510010,邹平西-邹平西虚收费门架,36.861209,117.805901
880,G002037006002520010,邹平西虚-邹平西收费门架,36.861209,117.805901
881,G002037006002610010,淄博高新区-淄博高新区虚收费门架,36.836737,118.380375
882,G002037006002620010,淄博高新区虚-淄博高新区收费门架,36.836737,118.380375
883,G002037006002710010,临淄东-临淄东虚收费门架,36.836817,118.382288
884,G002037006002720010,临淄东虚-临淄东收费门架,36.836817,118.382288
885,G002037006002810020,东客站虚-华山北枢纽收费门架,36.759252,117.123857
886,G002037006002820010,华山北枢纽-东客站虚收费门架,36.759028,117.122887
887,G002037007000110020,齐河北枢纽-禹城南门架,36.871939,116.671991
888,G002037007000210030,禹城南-高唐东门架,36.867835,116.627471
889,G002037007000410050,高唐-高邢青银枢纽门架,36.923862,116.212489
890,G002037007000510060,高邢青银枢纽-夏津门架,36.994660,116.048442
891,G002037007000620120,德商青银立交-夏津门架,37.009757,116.003387
892,G002037007000710070,夏津-德商青银立交门架,37.009653,116.004744
893,G002037007000810080,德商青银立交-青银鲁冀门架,37.019516,115.891796
894,G002037007000810090,德商青银立交-青银鲁冀门架,37.019624,115.885881
895,G002037007000920100,青银鲁冀-德商青银立交门架,37.022298,115.865787
896,G002037007000920110,青银鲁冀-德商青银立交门架,37.019791,115.879799
897,G002037007001020130,夏津-高邢青银枢纽门架,36.995048,116.047502
898,G002037007001120140,高邢青银枢纽-高唐门架,36.923929,116.211936
899,G002037007001320160,高唐东-禹城南门架,36.867531,116.626267
900,G002037007001420170,禹城南-齐河北枢纽门架,36.871981,116.670474
901,G002037007001510010,禹城南-禹城南虚收费门架,36.867650,116.622200
902,G002037007001520010,禹城南虚-禹城南收费门架,36.867650,116.622200
903,G002037007001610010,高唐东-高唐东虚收费门架,36.911660,116.750580
904,G002037007001620010,高唐东虚-高唐东收费门架,36.911660,116.750580
905,G002037007001710010,高唐-高唐虚收费门架,36.906000,116.340400
906,G002037007001720010,高唐虚-高唐收费门架,36.906000,116.340400
907,G002037007001810010,夏津-夏津虚收费门架,36.993990,116.042700
908,G002037007001820010,夏津虚-夏津收费门架,36.993990,116.042700
909,G002037007001910010,高唐东虚-尹集立交收费门架,36.906044,116.340003
910,G002037007001920020,尹集立交-高唐东虚收费门架,36.906153,116.339382
911,G002037007002010010,尹集立交-高唐虚收费门架,0.000000,0.000000
912,G002037007002020020,高唐虚-尹集立交收费门架,0.000000,0.000000
913,G002237001000210020,辛兴-诸城东门架,36.064807,119.575076
914,G002237001000310030,诸城东-诸城门架,36.07773730469523,119.45633937489585
915,G002237001000410040,诸城-诸城枢纽门架,36.082346,119.374574
916,G002237001000510050,诸城枢纽-诸城西门架,36.064083,119.232525
917,G002237001000610060,诸城西-孟疃门架,36.056809,119.192332
918,G002237001000920090,孟疃-诸城西门架,36.056657,119.191511
919,G002237001001020100,诸城西-诸城枢纽门架,36.063659,119.231469
920,G002237001001120110,诸城枢纽-诸城门架,36.082115,119.373635
921,G002237001001220120,诸城-诸城东门架,36.078562803075485,119.45456482539521
922,G002237001001320130,诸城东-辛兴门架,36.064721,119.574345
923,G002237001001510010,孟疃-孟疃虚收费门架,36.046434,118.889940
924,G002237001001520010,孟疃虚-孟疃收费门架,36.046434,118.889940
925,G002237001001610010,诸城西-诸城西虚收费门架,36.056892,119.186611
926,G002237001001620010,诸城西虚-诸城西收费门架,36.056892,119.186611
927,G002237001001710010,诸城-诸城虚收费门架,36.078211,119.448919
928,G002237001001720010,诸城虚-诸城收费门架,36.078211,119.448919
929,G002237001001810010,诸城东-诸城东虚收费门架,36.064731,119.568998
930,G002237001001820010,诸城东虚-诸城东收费门架,36.064731,119.568998
931,G002237001001910010,辛兴-辛兴虚收费门架,36.047949,119.777701
932,G002237001001920010,辛兴虚-辛兴收费门架,36.047949,119.777701
933,G002237002000110010,孟疃-杨庄门架,36.04634912,118.89551222
934,G002237002000210020,杨庄-马站枢纽门架,36.03067358,118.84147549
935,G002237002000310030,马站枢纽-诸葛门架,36.039313,118.584840
936,G002237002000410040,诸葛-张家坡门架,36.04283047,118.53236446
937,G002237002000520050,张家坡-诸葛门架,36.0430809,118.5313315
938,G002237002000620060,诸葛-马站枢纽门架,36.038434,118.582398
939,G002237002000720070,马站枢纽-杨庄门架,36.030308076010414,118.84037509834326
940,G002237002000820080,杨庄-孟疃门架,36.04594326,118.89452509
941,G002237002000910010,诸葛-诸葛虚收费门架,36.042984,118.526789
942,G002237002000920010,诸葛虚-诸葛收费门架,36.042984,118.526789
943,G002237002001010010,青兰杨庄-青兰杨庄虚收费门架,36.030715,118.835792
944,G002237002001020010,青兰杨庄虚-青兰杨庄收费门架,36.030715,118.835792
945,G002237003000210020,张家坡-沂源东门架,36.175313,118.253285
946,G002237003000310030,沂源东-沂源门架,36.15785171,118.15686843
947,G002237003000410040,沂源-鲁村门架,36.18115949,118.01212036
948,G002237003000510050,鲁村-辛庄门架,36.212538,117.971079
949,G002237003000620060,辛庄-鲁村门架,36.212631,117.970505
950,G002237003000720070,鲁村-沂源门架,36.18189058,118.01041739
951,G002237003000820080,沂源-沂源东门架,36.15749647,118.15645184
952,G002237003000920090,沂源东-张家坡门架,36.175414,118.252555
953,G002237003001110010,鲁村-鲁村虚收费门架,36.128473,117.962377
954,G002237003001120010,鲁村虚-鲁村收费门架,36.128473,117.962377
955,G002237003001210010,沂源-沂源虚收费门架,36.181616,118.004726
956,G002237003001220010,沂源虚-沂源收费门架,36.181616,118.004726
957,G002237003001310010,沂源东-沂源东虚收费门架,36.177292,118.150708
958,G002237003001320010,沂源东虚-沂源东收费门架,36.177292,118.150708
959,G002237003001410010,张家坡-张家坡虚收费门架,36.175309,118.246721
960,G002237003001420010,张家坡虚-张家坡收费门架,36.175309,118.246721
961,G002237004000210020,辛庄-莱芜枢纽门架,36.2389108573346,117.8126794244006
962,G002237004000520050,莱芜枢纽-辛庄门架,36.238959,117.812003
963,G002237004000710010,辛庄-辛庄虚收费门架,36.212778,117.964966
964,G002237004000720010,辛庄虚-辛庄收费门架,36.212778,117.964966
965,G002237005000110010,青岛西-青岛高新门架,36.234688,120.276172
966,G002237005000210020,青岛高新-河套虚门架,36.237552,120.240209
967,G002237005000310030,河套枢纽-营海门架,36.233727,120.111447
968,G002237005000310150,河套虚-河套枢纽门架,0.000000,0.000000
969,G002237005000410040,营海-红石崖门架,36.208668,120.067379
970,G002237005000510050,红石崖-黄岛枢纽门架,36.077232,120.092205
971,G002237005000610060,黄岛枢纽-黄岛东门架,36.068337,120.136102
972,G002237005000720070,黄岛东-黄岛枢纽门架,36.068324,120.136653
973,G002237005000820080,黄岛枢纽-红石崖门架,36.076025,120.100908
974,G002237005000920090,红石崖-营海门架,36.208183,120.067290
975,G002237005001020100,营海-河套枢纽门架,36.233452,120.110493
976,G002237005001120110,河套虚-青岛高新门架,36.238141,120.238705
977,G002237005001220120,青岛高新-青岛西门架,36.234471,120.275615
978,G002237005001520160,河套枢纽-河套虚门架,0.000000,0.000000
979,G002237005001610130,河套-河套虚门架,36.238162,120.233737
980,G002237005001720140,河套虚-河套门架,36.234611,120.271437
981,G002237005001810010,青岛西-青岛西虚收费门架,36.234403,120.270415
982,G002237005001820010,青岛西虚-青岛西收费门架,36.234403,120.270415
983,G002237005001910010,青岛高新-青岛高新虚收费门架,36.237488,120.235201
984,G002237005001920010,青岛高新虚-青岛高新收费门架,36.237488,120.235201
985,G002237005002010010,营海-营海虚收费门架,36.208649,120.062048
986,G002237005002020010,营海虚-营海收费门架,36.208649,120.062048
987,G002237005002110010,红石崖-红石崖虚收费门架,36.076880,120.087096
988,G002237005002120010,红石崖虚-红石崖收费门架,36.076880,120.087096
989,G002237005002210010,黄岛东-黄岛东虚收费门架,36.068049,120.130774
990,G002237005002220010,黄岛东虚-黄岛东收费门架,36.068049,120.130774
991,G002237006000210010,黄岛枢纽-徐村枢纽门架,36.061566,120.098718
992,G002237006000310020,徐村枢纽-辛安枢纽门架,36.045731,120.064397
993,G002237006000410030,徐村枢纽-王台南门架,36.052113,120.040298
994,G002237006000510040,王台南-胶南枢纽门架,36.0505759843046,119.96424849080137
995,G002237006000610050,胶南枢纽-里岔门架,36.045309,119.828279
996,G002237006000710060,里岔—辛兴门架,36.048258,119.783614
997,G002237006000820070,辛兴-里岔门架,36.048035,119.783052
998,G002237006000920080,里岔-胶南枢纽门架,36.045247,119.826958
999,G002237006001020090,胶南枢纽-王台南门架,36.050601,119.962674
1000,G002237006001120100,王台南-徐村枢纽门架,36.05190887,120.03925391
1001,G002237006001220110,辛安枢纽-徐村枢纽门架,36.045443,120.064949
1002,G002237006001320120,徐村枢纽-黄岛枢纽门架,36.060739,120.097652
1003,G002237006001510010,里岔-里岔虚收费门架,36.048311,119.778344
1004,G002237006001520010,里岔虚-里岔收费门架,36.048311,119.778344
1005,G002237006001610010,王台南-王台南虚收费门架,36.051599,120.033867
1006,G002237006001620010,王台南虚-王台南收费门架,36.051599,120.033867
1007,G002237007000110010,泰山枢纽-泰肥门架,36.148722,117.035951
1008,G002237007000210020,泰肥-岱岳门架,36.150168,117.010890
1009,G002237007000510030,岱岳-肥城南门架,36.143749,116.966089
1010,G002237007000810040,肥城南-桃园门架,36.120218,116.753656
1011,G002237007001110050,桃园-肥城西门架,36.13755962,116.60954249
1012,G002237007001210060,肥城西-平阴孔村门架,36.139745,116.552358
1013,G002237007001410070,平阴孔村-孔村枢纽门架,36.165168,116.473835
1014,G002237007001510080,孔村枢纽-平阴玫瑰门架,36.211185,116.374137
1015,G002237007001610090,平阴玫瑰-黄河特大桥终点门架,36.222820,116.324844
1016,G002237007001820100,黄河特大桥终点-平阴玫瑰门架,36.222922,116.323742
1017,G002237007002020110,平阴玫瑰-孔村枢纽门架,36.211334,116.372913
1018,G002237007002120120,孔村枢纽-平阴孔村门架,36.165567,116.472608
1019,G002237007002220130,平阴孔村-肥城西门架,36.1397343,116.5514124
1020,G002237007002420140,肥城西-桃园门架,36.13770135,116.6086465
1021,G002237007002520150,桃园-肥城南门架,36.120186,116.752796
1022,G002237007002820160,肥城南-岱岳门架,36.143698,116.964934
1023,G002237007003120170,岱岳-泰肥门架,36.149907,117.009609
1024,G002237007003420180,泰肥-泰山枢纽门架,36.148772,117.034866
1025,G002237007003510010,泰肥-泰肥虚收费门架,36.148649,117.029481
1026,G002237007003520010,泰肥虚-泰肥收费门架,36.148649,117.029481
1027,G002237007003610010,岱岳-岱岳虚收费门架,36.143835,116.960772
1028,G002237007003620010,岱岳虚-岱岳收费门架,36.143835,116.960772
1029,G002237007003710010,肥城南-肥城南虚收费门架,36.144042,116.959065
1030,G002237007003720010,肥城南虚-肥城南收费门架,36.144042,116.959065
1031,G002237007003810010,桃园-桃园虚收费门架,36.137382,116.605252
1032,G002237007003820010,桃园虚-桃园收费门架,36.137382,116.605252
1033,G002237007003910010,肥城西-肥城西虚收费门架,36.137882,116.603293
1034,G002237007003920010,肥城西虚-肥城西收费门架,36.137882,116.603293
1035,G002237007004010010,平阴孔村-平阴孔村虚收费门架,36.140044,116.546017
1036,G002237007004020010,平阴孔村虚-平阴孔村收费门架,36.140044,116.546017
1037,G002237007004110010,平阴玫瑰-平阴玫瑰虚收费门架,36.222117,116.321666
1038,G002237007004120010,平阴玫瑰虚-平阴玫瑰收费门架,36.222117,116.321666
1039,G002237008000210020,东阿-李海务门架,36.312692511731086,116.03890632168883
1040,G002237008000310030,李海务-朱老庄门架,36.33833806099034,115.95850746543826
1041,G002237008000410040,朱老庄-田庄枢纽门架,36.343291,115.913532
1042,G002237008000510050,田庄枢纽-河店门架,36.36070117699998,115.72035712250745
1043,G002237008000610060,河店-魏庄门架,36.36086336079933,115.67442454232832
1044,G002237008000710070,魏庄-青兰鲁冀门架,36.344506,115.550500
1045,G002237008000710210,魏庄-青兰鲁冀门架,36.346139,115.545274
1046,G002237008000820080,青兰鲁冀-魏庄门架,36.346193,115.544622
1047,G002237008000820220,青兰鲁冀-魏庄门架,36.347737,115.539478
1048,G002237008000920090,魏庄-河店门架,36.360692938162316,115.67379543023664
1049,G002237008001020100,河店-田庄枢纽门架,36.360649337352044,115.71988290798639
1050,G002237008001120110,田庄枢纽-朱老庄门架,36.343242,115.912349
1051,G002237008001220120,朱老庄-李海务门架,36.33835080854628,115.95795130946446
1052,G002237008001320130,李海务-东阿门架,36.31280432468505,116.03802249412801
1053,G002237008001510010,东阿-东阿虚收费门架,36.278627,116.220127
1054,G002237008001520010,东阿虚-东阿收费门架,36.278627,116.220127
1055,G002237008001610010,李海务-李海务虚收费门架,36.338504,115.952985
1056,G002237008001620010,李海务虚-李海务收费门架,36.338504,115.952985
1057,G002237008001710010,朱老庄-朱老庄虚收费门架,36.343442,115.907883
1058,G002237008001720010,朱老庄虚-朱老庄收费门架,36.343442,115.907883
1059,G002237008001810010,河店-河店虚收费门架,36.360504,115.714033
1060,G002237008001820010,河店虚-河店收费门架,36.360504,115.714033
1061,G002237008001910010,魏庄-魏庄虚收费门架,36.344704,115.544898
1062,G002237008001920010,魏庄虚-魏庄收费门架,36.344704,115.544898
1063,G002237008002110010,东阿南立交-东阿虚收费门架,36.284251,116.232893
1064,G002237008002120020,东阿虚-东阿南立交收费门架,36.284314,116.232397
1065,G002237009000110010,钢城枢纽-钢城西虚收费门架,36.138000,117.707000
1066,G002237009000210020,钢城西虚-高庄虚收费门架,36.166000,117.601000
1067,G002237009001720150,高庄虚-钢城西虚收费门架,36.161000,117.602000
1068,G002237009001820160,钢城西虚-钢城枢纽收费门架,36.142000,117.702000
1069,G002237009001910010,钢城西-钢城西虚收费门架,36.138000,117.695000
1070,G002237009002020010,钢城西虚-钢城西收费门架,36.138000,117.695000
1071,G002237009002110010,高庄-高庄虚收费门架,36.160000,117.591000
1072,G002237009002220010,高庄虚-高庄收费门架,36.159000,117.591000
1073,G002237010000410030,高庄虚-角峪虚收费门架,36.157000,117.448000
1074,G002237010000510040,角峪虚-青兰枢纽收费门架,36.151000,117.417000
1075,G002237010000610050,青兰枢纽-泰新枢纽收费门架,36.127000,117.278000
1076,G002237010000710060,泰新枢纽-泰安东虚收费门架,36.144000,117.179000
1077,G002237010000810070,泰安东虚-泰安南虚收费门架,36.144000,117.153000
1078,G002237010000910080,泰安南虚-泰山枢纽收费门架,36.142000,117.081000
1079,G002237010001020090,泰山枢纽-泰安南虚收费门架,36.141000,117.082000
1080,G002237010001120100,泰安南虚-泰安东虚收费门架,36.143000,117.153000
1081,G002237010001220110,泰安东虚-泰新枢纽收费门架,36.146000,117.177000
1082,G002237010001320120,泰新枢纽-青兰枢纽收费门架,36.125000,117.276000
1083,G002237010001420130,青兰枢纽-角峪虚收费门架,36.154000,117.425000
1084,G002237010001520140,角峪虚-高庄虚收费门架,36.164000,117.448000
1085,G002237010002310010,角峪-角峪虚收费门架,36.157000,117.429000
1086,G002237010002420010,角峪虚-角峪收费门架,36.158000,117.429000
1087,G002237010002510010,泰安东-泰安东虚收费门架,36.149000,117.166000
